ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
13618,D,Ship,6,1,170,4,low,M,5,3430,1
13619,F,Ship,2,4,150,5,low,M,9,2358,0
13620,C,Flight,4,5,195,4,medium,M,9,2113,1
13621,F,Flight,4,5,155,4,low,M,10,3320,1
13622,B,Flight,4,4,222,3,medium,M,11,2724,1
13623,F,Ship,6,3,170,2,high,M,1,6407,0
13624,A,Ship,6,2,208,3,high,M,3,4481,0
13625,D,Ship,5,1,104,4,high,M,1,6384,0
13626,C,Road,4,5,307,4,high,F,6,3430,1
13627,A,Flight,3,5,203,5,high,F,9,3242,1
13628,F,Flight,6,5,162,5,low,M,3,6739,1
13629,C,Ship,6,1,204,5,medium,F,6,6545,1
13630,C,Flight,3,5,222,3,high,F,11,2220,1
13631,D,Flight,4,5,289,5,medium,M,9,2581,1
13632,D,Flight,4,5,243,5,low,M,10,1509,1
13633,F,Ship,5,1,145,4,low,M,1,4195,0
13634,C,Ship,5,3,119,2,medium,F,4,5617,0
13635,A,Ship,5,3,246,2,high,M,2,5603,0
13636,F,Road,2,4,214,6,high,M,9,3545,1
13637,C,Road,2,4,279,4,high,F,7,2993,1
13638,B,Ship,5,3,266,5,low,M,6,2655,1
13639,A,Ship,5,1,232,6,medium,M,7,3960,0
13640,F,Flight,3,5,270,3,high,M,10,1973,1
13641,C,Flight,3,5,212,5,low,M,8,3488,1
13642,A,Flight,2,4,245,4,high,M,8,2654,1
13643,F,Ship,7,1,195,3,low,M,1,5883,0
13644,D,Ship,5,3,124,3,high,F,4,5172,0
13645,B,Ship,5,2,102,4,low,F,3,5675,0
13646,C,Ship,2,5,255,6,high,M,7,2872,1
13647,A,Ship,3,4,233,6,high,M,9,2405,1
13648,F,Flight,6,4,284,3,medium,F,4,6539,0
13649,F,Ship,6,5,142,4,high,F,11,6407,0
13650,A,Flight,4,5,165,5,low,M,9,1794,1
13651,B,Flight,2,5,221,4,low,M,10,1635,1
13652,C,Flight,2,4,167,5,medium,F,10,2073,1
13653,F,Ship,7,2,201,2,low,F,2,5586,0
13654,F,Ship,5,2,138,3,high,F,1,5586,0
13655,F,Ship,5,3,155,2,low,M,4,4640,0
13656,B,Ship,3,4,231,5,high,F,9,2616,1
13657,B,Ship,3,5,288,6,high,F,8,3694,1
13658,F,Road,7,5,171,3,low,F,5,4448,1
13659,B,Road,2,5,289,4,low,M,8,7712,1
13660,B,Flight,3,5,217,5,medium,F,10,2424,1
13661,D,Flight,4,4,294,3,medium,F,8,2885,1
13662,B,Flight,2,5,219,4,high,M,11,3402,1
13663,D,Ship,5,3,130,4,medium,M,3,6074,0
13664,C,Ship,5,2,221,3,high,M,4,6935,0
13665,B,Ship,7,2,186,4,medium,M,4,6227,0
13666,F,Ship,2,4,246,6,high,M,7,3606,1
13667,F,Ship,2,4,209,4,high,F,9,3647,1
13668,F,Flight,3,5,147,2,medium,M,6,1254,1
13669,F,Ship,7,5,133,2,low,F,6,6698,0
13670,F,Flight,4,4,165,3,medium,F,9,2929,1
13671,D,Flight,3,5,185,3,high,M,9,2464,1
13672,C,Flight,4,4,161,5,medium,M,10,2937,1
13673,A,Ship,6,2,191,3,high,F,1,4077,0
13674,F,Ship,7,2,121,4,low,F,3,5491,0
13675,F,Ship,6,2,106,4,medium,F,2,5044,0
13676,C,Ship,4,4,305,4,high,M,9,2639,1
13677,F,Ship,3,4,263,4,high,F,8,3772,1
13678,B,Ship,2,4,224,6,low,M,5,7152,0
13679,A,Flight,2,3,128,6,high,M,2,4440,0
13680,D,Flight,3,5,201,4,medium,M,8,2717,1
13681,F,Flight,4,4,277,5,low,F,9,3344,1
13682,A,Flight,4,4,236,4,high,F,10,2717,1
13683,B,Ship,6,2,226,3,medium,M,4,4014,0
13684,B,Ship,6,1,180,4,medium,F,1,6233,0
13685,B,Ship,6,2,154,4,medium,M,3,6098,0
13686,F,Ship,4,4,261,4,high,M,7,3832,1
13687,D,Ship,4,5,300,6,high,M,9,2791,1
13688,F,Ship,6,2,306,4,medium,F,6,7662,1
13689,D,Ship,5,1,256,6,low,F,11,1898,0
13690,F,Flight,3,5,286,4,medium,F,10,2560,1
13691,B,Flight,2,4,272,5,medium,M,10,2846,1
13692,D,Flight,4,5,293,5,low,F,8,1737,1
13693,F,Ship,5,3,154,4,medium,M,2,5872,0
13694,C,Ship,6,2,111,3,low,M,2,4518,0
13695,F,Ship,7,3,235,3,low,M,4,4106,0
13696,F,Ship,2,4,205,6,high,M,8,3295,1
13697,A,Ship,3,5,304,6,high,M,7,2529,1
13698,D,Road,4,1,305,3,medium,M,3,1525,1
13699,A,Road,7,1,139,2,low,F,5,6941,0
13700,B,Flight,2,4,286,5,high,F,10,2507,1
13701,F,Flight,4,5,168,3,low,F,11,1740,1
13702,A,Flight,3,5,213,3,low,M,10,3037,1
13703,A,Ship,6,3,179,4,high,M,3,4726,0
13704,B,Ship,6,3,222,3,medium,F,2,4613,0
13705,B,Ship,5,2,214,4,high,M,4,5400,0
13706,B,Flight,3,4,215,6,high,M,8,2480,1
13707,A,Ship,3,5,256,4,high,F,8,3932,1
13708,B,Ship,7,4,308,3,low,F,7,4621,0
13709,F,Ship,5,2,290,6,medium,M,4,4024,1
13710,A,Flight,2,4,254,4,high,F,9,1627,1
13711,F,Flight,4,5,273,3,high,M,10,2486,1
13712,D,Flight,4,5,259,5,low,F,9,2911,1
13713,F,Ship,5,1,188,4,medium,F,3,6738,0
13714,F,Ship,5,2,118,3,low,M,4,5086,0
13715,F,Ship,6,3,133,2,low,F,1,5110,0
13716,F,Road,3,4,253,4,high,F,7,3192,1
13717,B,Ship,3,4,240,4,high,M,6,2897,1
13718,F,Ship,7,4,151,2,medium,F,6,6550,1
13719,F,Ship,2,1,298,5,medium,M,4,7732,1
13720,C,Flight,4,5,180,5,low,F,11,2083,1
13721,B,Flight,4,4,205,4,high,F,8,2755,1
13722,F,Flight,3,5,275,5,low,F,9,2926,1
13723,B,Ship,6,1,193,2,medium,M,2,6541,0
13724,D,Ship,5,3,178,4,medium,F,1,5679,0
13725,B,Ship,5,2,111,3,high,F,4,6907,0
13726,F,Ship,3,5,256,4,high,M,9,3553,1
13727,F,Ship,3,5,283,5,high,F,7,3336,1
13728,F,Ship,3,3,234,6,low,F,8,3590,1
13729,D,Ship,4,3,265,5,low,F,4,7806,1
13730,C,Flight,3,5,204,3,low,M,8,2917,1
13731,C,Flight,3,5,217,3,high,M,10,1696,1
13732,F,Flight,2,5,289,5,medium,F,9,2469,1
13733,B,Ship,5,3,208,2,low,M,1,5746,0
13734,F,Ship,5,1,238,3,medium,F,2,6281,0
13735,F,Ship,7,1,132,2,low,F,1,4449,0
13736,D,Flight,3,5,228,4,high,M,7,2969,1
13737,C,Flight,4,4,230,6,high,F,7,3045,1
13738,F,Road,5,5,225,3,low,F,8,5053,0
13739,A,Ship,7,5,247,4,medium,F,2,1042,1
13740,F,Flight,2,4,280,5,high,M,8,3404,1
13741,B,Flight,4,5,160,5,low,F,10,3278,1
13742,C,Flight,4,4,263,5,medium,F,10,2896,1
13743,B,Ship,7,2,169,4,medium,F,4,4464,0
13744,A,Ship,6,3,180,4,high,F,3,6841,0
13745,A,Ship,5,3,146,2,low,F,2,6886,0
13746,F,Ship,2,5,237,4,high,F,6,3624,1
13747,C,Flight,3,5,240,4,high,M,7,2690,1
13748,D,Ship,7,2,185,2,high,M,8,3171,1
13749,C,Ship,7,4,102,6,high,F,4,1271,0
13750,C,Flight,4,4,163,3,high,M,9,3214,1
13751,F,Flight,4,5,298,4,high,F,11,1584,1
13752,F,Flight,3,5,268,3,low,M,10,1907,1
13753,C,Ship,5,1,130,2,high,F,4,5835,0
13754,F,Ship,6,2,191,4,high,F,2,4145,0
13755,B,Ship,5,3,214,4,low,F,1,6462,0
13756,C,Ship,3,5,257,5,high,F,8,3388,1
13757,B,Flight,3,5,236,6,high,M,8,2182,1
13758,F,Ship,4,2,96,6,medium,M,7,5897,1
13759,F,Ship,7,1,126,3,low,M,2,4955,1
13760,F,Flight,2,5,267,4,high,M,10,1983,1
13761,C,Flight,2,5,240,3,low,M,11,2127,1
13762,F,Flight,4,4,243,4,low,F,10,3100,1
13763,B,Ship,5,2,195,2,medium,F,2,4464,0
13764,D,Ship,5,3,126,3,medium,F,3,6797,0
13765,F,Ship,7,2,102,4,low,F,2,5235,0
13766,B,Road,4,4,215,6,high,M,9,2092,1
13767,F,Flight,4,5,293,5,high,F,6,3789,1
13768,D,Ship,4,1,251,6,medium,F,8,6195,0
13769,C,Ship,6,2,235,3,medium,F,8,2947,1
13770,D,Flight,2,4,161,5,high,M,8,2389,1
13771,C,Flight,3,5,207,3,low,F,10,2248,1
13772,C,Flight,2,5,167,3,low,F,9,1919,1
13773,D,Ship,7,3,229,4,medium,F,1,4178,0
13774,D,Ship,5,2,165,3,low,M,1,6003,0
13775,F,Ship,6,1,189,3,medium,F,1,5173,0
13776,A,Flight,2,4,309,4,high,F,8,2546,1
13777,B,Ship,3,5,231,5,high,F,9,2367,1
13778,A,Ship,5,5,207,5,medium,F,11,6705,1
13779,C,Flight,2,4,179,3,high,M,2,4411,1
13780,A,Flight,3,5,203,3,low,M,9,2536,1
13781,F,Flight,3,5,277,3,low,F,11,1940,1
13782,F,Flight,3,4,196,3,medium,M,9,2646,1
13783,F,Ship,7,2,135,3,low,M,1,4255,0
13784,C,Ship,5,2,137,4,low,F,4,5201,0
13785,F,Ship,7,1,246,3,low,F,3,5231,0
13786,F,Ship,2,5,207,5,high,F,6,3513,1
13787,F,Road,2,4,290,4,high,F,7,2232,1
13788,F,Ship,5,2,242,4,medium,M,11,6373,0
13789,C,Ship,2,5,162,5,medium,M,9,4492,1
13790,C,Flight,3,5,163,3,medium,M,10,2129,1
13791,D,Flight,4,4,160,3,medium,M,9,2094,1
13792,D,Flight,3,4,204,5,high,M,9,2187,1
13793,F,Ship,7,2,236,3,low,M,4,5391,0
13794,B,Ship,5,1,136,3,medium,F,3,6625,0
13795,F,Ship,5,2,200,3,low,M,3,5691,0
13796,F,Ship,3,4,276,4,high,F,9,2022,1
13797,F,Ship,3,4,218,6,high,M,8,3521,1
13798,A,Ship,5,1,187,6,medium,M,11,2754,0
13799,A,Flight,3,3,133,6,low,M,6,2952,1
13800,F,Flight,3,4,201,4,medium,F,8,2345,1
13801,B,Flight,4,5,270,3,medium,F,9,1795,1
13802,B,Flight,3,5,238,3,medium,M,11,2069,1
13803,A,Ship,6,2,205,4,high,F,1,6848,0
13804,A,Ship,6,1,124,3,low,F,2,6142,0
13805,B,Ship,6,2,208,3,high,F,4,4199,0
13806,F,Ship,4,5,304,5,high,F,6,2677,1
13807,F,Flight,2,4,274,5,high,M,9,2853,1
13808,F,Road,4,1,258,6,low,F,7,3245,1
13809,C,Ship,4,5,198,5,low,F,4,3590,1
13810,B,Flight,2,5,277,4,low,M,9,3095,1
13811,F,Flight,3,4,245,4,low,F,9,3364,1
13812,D,Flight,2,4,275,3,medium,F,11,2794,1
13813,F,Ship,7,2,109,2,low,F,1,4434,0
13814,D,Ship,7,1,117,4,medium,M,3,4995,0
13815,D,Ship,5,1,215,3,medium,M,2,5316,0
13816,F,Road,3,4,225,5,high,F,9,3113,1
13817,F,Road,3,4,304,5,high,M,8,2573,1
13818,B,Ship,6,5,216,4,medium,M,2,3359,1
13819,A,Ship,2,3,111,2,medium,F,3,6142,1
13820,F,Flight,3,5,292,4,high,F,8,2460,1
13821,F,Flight,3,5,251,5,medium,F,9,2041,1
13822,C,Flight,2,5,281,4,low,F,8,3390,1
13823,B,Ship,7,1,228,3,medium,M,2,6069,0
13824,F,Ship,5,2,116,3,medium,M,3,6468,0
13825,C,Ship,6,3,129,2,low,F,1,6657,0
13826,A,Road,2,5,308,6,high,F,6,3438,1
13827,A,Ship,4,5,251,6,high,M,6,3329,1
13828,F,Ship,2,1,251,3,low,F,8,6844,1
13829,F,Flight,6,1,178,2,medium,M,5,4996,0
13830,C,Flight,2,5,186,4,low,M,11,2952,1
13831,B,Flight,3,5,203,5,medium,F,10,2069,1
13832,F,Flight,2,5,195,4,high,F,9,2235,1
13833,B,Ship,5,2,210,3,high,M,1,6575,0
13834,F,Ship,5,2,115,4,high,F,2,6392,0
13835,F,Ship,5,2,145,4,high,M,1,4233,0
13836,D,Ship,3,5,274,5,high,M,7,3363,1
13837,F,Flight,3,5,233,6,high,M,8,3267,1
13838,A,Ship,6,1,228,3,medium,M,6,1942,1
13839,B,Flight,6,3,188,6,medium,F,7,5974,0
13840,F,Flight,2,4,288,3,high,F,11,2357,1
13841,F,Flight,3,5,150,3,high,M,9,2471,1
13842,B,Flight,2,5,278,4,high,F,9,2658,1
13843,D,Ship,6,2,182,2,low,M,2,5887,0
13844,B,Ship,5,1,141,3,low,M,1,4572,0
13845,C,Ship,5,1,161,3,medium,F,2,4676,0
13846,D,Ship,2,5,299,4,high,F,6,3110,1
13847,C,Ship,3,5,238,5,high,F,8,3431,1
13848,F,Flight,6,3,159,4,high,F,7,5392,1
13849,F,Ship,2,2,111,2,low,M,1,3605,1
13850,A,Flight,4,4,261,4,medium,M,10,2343,1
13851,F,Flight,2,4,220,5,low,M,10,1904,1
13852,F,Flight,2,4,270,5,low,F,8,3040,1
13853,F,Ship,6,2,140,3,low,M,4,4747,0
13854,C,Ship,5,3,154,2,low,M,1,6341,0
13855,D,Ship,6,2,159,4,medium,M,1,5744,0
13856,D,Flight,3,5,285,4,high,M,9,2842,1
13857,F,Flight,2,4,295,5,high,F,6,2647,1
13858,A,Road,6,1,293,4,medium,M,11,4864,1
13859,C,Flight,2,4,302,6,low,F,2,2560,0
13860,D,Flight,4,4,176,5,low,F,11,3437,1
13861,F,Flight,2,5,232,4,high,M,10,2807,1
13862,D,Flight,2,5,164,4,low,F,9,1792,1
13863,F,Ship,6,1,183,4,medium,F,4,6374,0
13864,C,Ship,5,2,106,3,high,F,3,6444,0
13865,C,Ship,5,1,142,2,high,M,1,6274,0
13866,F,Ship,2,5,307,6,high,F,7,2178,1
13867,B,Flight,2,4,229,6,high,M,6,2935,1
13868,F,Road,2,5,271,5,medium,M,11,3788,1
13869,A,Flight,2,1,201,5,low,M,5,6391,1
13870,C,Flight,2,5,286,4,high,M,8,3107,1
13871,D,Flight,2,4,165,4,low,F,11,2584,1
13872,F,Flight,4,5,270,5,low,M,11,3046,1
13873,D,Ship,5,2,171,4,low,M,1,4789,0
13874,F,Ship,7,1,172,4,medium,M,3,5548,0
13875,D,Ship,7,2,208,4,low,M,1,4376,0
13876,B,Flight,3,5,292,6,high,F,7,3021,1
13877,C,Flight,4,4,217,5,high,M,9,3531,1
13878,F,Ship,2,1,264,6,low,M,9,4577,0
13879,B,Flight,5,2,289,3,low,M,11,5098,0
13880,C,Flight,4,4,190,5,high,F,10,3494,1
13881,B,Flight,3,4,217,4,low,M,8,1876,1
13882,D,Flight,2,4,184,3,low,M,9,2911,1
13883,A,Ship,7,2,160,3,medium,M,3,6172,0
13884,F,Ship,7,2,158,3,low,F,3,5484,0
13885,C,Ship,5,2,185,3,low,M,3,4236,0
13886,B,Ship,3,5,236,4,high,F,7,3768,1
13887,C,Road,2,4,266,4,high,M,8,3992,1
13888,B,Road,7,3,280,4,low,F,8,4121,1
13889,A,Ship,6,4,284,3,high,F,1,2472,1
13890,F,Flight,3,5,170,4,low,F,9,2084,1
13891,D,Flight,4,4,291,3,medium,F,11,2296,1
13892,D,Flight,4,5,220,3,high,F,11,3135,1
13893,B,Ship,6,2,194,3,low,F,2,6414,0
13894,D,Ship,5,2,202,3,low,M,4,6973,0
13895,F,Ship,7,3,106,3,low,F,2,5036,0
13896,F,Ship,3,4,204,4,high,F,7,3382,1
13897,F,Ship,3,4,293,5,high,F,6,3617,1
13898,D,Ship,2,2,120,2,low,F,11,5526,0
13899,D,Ship,2,1,110,5,medium,F,6,1551,1
13900,F,Flight,4,4,215,5,medium,F,10,2765,1
13901,C,Flight,2,5,156,3,high,F,10,3285,1
13902,A,Flight,4,5,221,4,low,F,8,1656,1
13903,F,Ship,6,3,208,3,low,M,4,6544,0
13904,F,Ship,6,1,228,2,low,F,1,6408,0
13905,F,Ship,5,1,212,2,medium,F,1,6309,0
13906,F,Flight,4,4,309,6,high,F,6,2970,1
13907,D,Ship,3,4,302,6,high,F,9,3725,1
13908,F,Road,2,5,292,2,medium,F,11,4490,0
13909,D,Ship,7,5,161,4,low,F,1,4471,1
13910,A,Flight,2,5,238,4,high,M,10,2464,1
13911,F,Flight,3,4,281,3,low,M,9,3111,1
13912,F,Flight,3,5,253,5,high,M,9,2606,1
13913,D,Ship,5,1,237,2,low,M,1,5403,0
13914,A,Ship,6,3,168,3,low,M,3,5199,0
13915,F,Ship,6,3,143,3,medium,F,4,6482,0
13916,F,Flight,3,4,255,4,high,M,6,2720,1
13917,A,Ship,3,4,201,6,high,M,7,2684,1
13918,A,Road,5,1,152,3,medium,M,8,4835,1
13919,F,Flight,2,5,103,3,medium,F,11,1138,0
13920,F,Flight,3,5,241,4,medium,F,11,1792,1
13921,F,Flight,3,4,292,3,medium,F,10,1723,1
13922,F,Flight,2,5,190,5,low,F,9,1538,1
13923,F,Ship,6,2,216,3,low,M,2,5468,0
13924,B,Ship,7,1,223,4,low,F,4,6780,0
13925,C,Ship,5,1,122,4,medium,M,3,6124,0
13926,F,Flight,3,5,294,6,high,M,9,3294,1
13927,C,Ship,2,5,215,5,high,M,7,3985,1
13928,F,Ship,4,4,113,6,medium,F,3,1268,1
13929,A,Road,3,4,273,4,medium,F,8,4753,1
13930,D,Flight,4,5,239,3,low,F,9,1985,1
13931,D,Flight,4,4,170,5,low,M,8,3468,1
13932,F,Flight,3,4,196,4,low,M,10,1827,1
13933,B,Ship,6,2,168,2,low,M,1,4956,0
13934,D,Ship,7,3,128,3,medium,M,2,5579,0
13935,F,Ship,5,2,241,3,medium,M,3,5758,0
13936,F,Ship,3,4,277,4,high,M,8,2001,1
13937,D,Ship,3,4,206,6,high,F,9,2615,1
13938,A,Road,5,3,153,6,medium,M,10,3802,1
13939,F,Ship,7,1,304,4,medium,M,4,3273,1
13940,A,Flight,3,5,162,4,medium,F,8,1724,1
13941,B,Flight,3,4,258,5,medium,F,8,2436,1
13942,F,Flight,2,4,164,5,high,F,11,1630,1
13943,F,Ship,5,1,139,4,low,F,1,5283,0
13944,F,Ship,6,3,139,2,low,M,4,6449,0
13945,C,Ship,7,1,224,4,high,M,4,6908,0
13946,D,Ship,3,4,204,4,high,M,6,2380,1
13947,B,Ship,2,4,221,5,high,M,6,2354,1
13948,D,Road,4,4,222,6,medium,F,8,1244,0
13949,A,Ship,7,5,110,2,high,F,2,1838,1
13950,B,Flight,3,5,190,5,low,F,9,1818,1
13951,A,Flight,4,5,294,3,low,M,10,2149,1
13952,F,Flight,2,5,225,4,high,F,11,3194,1
13953,F,Ship,6,2,100,4,low,F,1,5724,0
13954,C,Ship,6,3,233,2,low,M,2,6947,0
13955,B,Ship,6,1,247,2,medium,M,3,5685,0
13956,F,Flight,3,4,247,6,high,M,9,2212,1
13957,A,Road,3,4,290,4,high,M,6,2187,1
13958,F,Ship,2,5,257,3,low,M,1,7191,0
13959,F,Ship,3,5,260,5,low,F,2,4992,1
13960,A,Flight,2,5,213,3,medium,M,10,3131,1
13961,C,Flight,3,5,249,3,high,F,9,1517,1
13962,F,Flight,4,5,263,5,low,M,11,2113,1
13963,B,Ship,6,3,123,2,high,M,4,4166,0
13964,B,Ship,7,2,232,4,medium,F,4,6640,0
13965,F,Ship,5,2,133,3,low,M,4,5067,0
13966,F,Road,2,5,249,5,high,M,9,2983,1
13967,D,Flight,3,5,269,4,high,M,6,3690,1
13968,A,Ship,2,4,240,4,medium,F,11,6036,1
13969,A,Ship,2,3,226,6,low,M,5,1688,1
13970,D,Flight,3,5,266,4,high,F,10,3140,1
13971,F,Flight,3,5,255,5,medium,F,11,2260,1
13972,B,Flight,3,5,268,3,low,M,10,2354,1
13973,F,Ship,6,3,148,2,medium,M,2,5935,0
13974,F,Ship,7,1,131,2,medium,M,2,6529,0
13975,F,Ship,6,1,110,2,high,M,1,5194,0
13976,D,Road,3,4,287,4,high,F,9,3860,1
13977,A,Road,3,4,228,4,high,F,7,2625,1
13978,C,Road,2,5,165,2,medium,F,1,7250,1
13979,F,Ship,2,2,145,5,high,F,7,4783,1
13980,F,Flight,3,5,270,3,medium,M,9,2926,1
13981,F,Flight,3,5,291,3,low,M,11,1767,1
13982,F,Flight,4,5,163,3,low,F,10,2716,1
13983,D,Ship,5,2,194,3,low,M,3,5171,0
13984,B,Ship,7,1,216,4,low,F,3,4452,0
13985,F,Ship,7,3,159,4,medium,F,4,6470,0
13986,D,Ship,2,4,224,4,high,F,7,2719,1
13987,F,Ship,3,5,288,6,high,M,7,2293,1
13988,F,Ship,7,1,98,5,medium,M,4,6658,1
13989,D,Ship,2,2,286,6,low,M,2,1637,1
13990,F,Flight,3,5,161,4,low,F,10,1949,1
13991,D,Flight,2,5,243,5,low,F,9,1656,1
13992,B,Flight,4,5,194,4,medium,M,10,2050,1
13993,A,Ship,5,3,248,4,medium,F,3,5967,0
13994,B,Ship,5,3,101,2,medium,M,4,6815,0
13995,C,Ship,6,3,204,3,high,F,3,4841,0
13996,A,Ship,2,4,212,4,high,M,6,3492,1
13997,F,Road,2,5,269,6,high,F,8,2521,1
13998,D,Ship,6,2,179,5,low,M,11,4503,0
13999,C,Road,4,1,196,6,medium,M,8,3520,0
14000,C,Flight,4,5,151,4,low,M,9,2188,1
14001,F,Flight,2,5,252,3,medium,M,11,1848,1
14002,F,Flight,3,4,271,4,high,F,10,2369,1
14003,C,Ship,5,1,205,4,medium,M,4,6321,0
14004,A,Ship,5,2,156,3,medium,F,2,5827,0
14005,F,Ship,6,3,247,2,low,F,4,4108,0
14006,D,Ship,3,4,275,5,high,M,7,2026,1
14007,B,Ship,4,5,202,5,high,M,8,3680,1
14008,B,Ship,3,4,289,3,low,M,1,2505,0
14009,F,Ship,2,1,249,6,medium,M,10,3720,1
14010,B,Flight,2,4,228,4,low,M,8,1886,1
14011,C,Flight,3,5,270,5,low,M,11,3265,1
14012,F,Flight,2,5,177,5,high,F,9,3226,1
14013,D,Ship,5,1,105,2,high,M,4,4694,0
14014,F,Ship,7,1,116,2,low,F,3,6364,0
14015,F,Ship,5,2,187,4,low,M,3,5454,0
14016,B,Flight,2,5,200,4,high,F,7,2918,1
14017,F,Ship,3,5,276,6,high,F,8,2268,1
14018,A,Road,2,5,228,2,medium,M,5,6463,1
14019,C,Flight,7,5,158,5,medium,F,11,5126,1
14020,D,Flight,3,5,201,5,low,M,8,2630,1
14021,F,Flight,4,4,226,3,low,M,8,2207,1
14022,F,Flight,3,5,251,5,low,F,11,3408,1
14023,F,Ship,7,3,125,3,low,F,4,5059,0
14024,B,Ship,7,2,118,4,medium,M,4,5553,0
14025,B,Ship,7,2,166,4,medium,F,2,5226,0
14026,B,Road,3,4,252,4,high,M,9,2839,1
14027,F,Ship,2,4,244,5,high,M,8,3354,1
14028,C,Flight,2,4,162,3,medium,F,6,6157,1
14029,D,Flight,4,3,248,6,low,M,6,7074,0
14030,C,Flight,3,4,181,3,low,F,9,1590,1
14031,C,Flight,4,4,256,4,low,F,11,1584,1
14032,A,Flight,4,5,270,3,medium,F,10,1673,1
14033,C,Ship,6,2,173,2,low,M,3,5808,0
14034,F,Ship,6,2,174,4,low,M,2,6664,0
14035,B,Ship,5,1,177,4,high,F,4,4637,0
14036,F,Flight,2,5,278,4,high,M,7,3686,1
14037,B,Flight,3,4,202,4,high,F,8,3136,1
14038,D,Ship,5,3,237,4,low,M,1,6914,0
14039,A,Ship,4,1,295,4,low,M,5,5435,1
14040,F,Flight,4,4,202,4,high,M,11,1517,1
14041,C,Flight,3,5,212,5,medium,M,10,1917,1
14042,C,Flight,4,5,158,3,medium,F,10,2033,1
14043,F,Ship,6,2,108,3,low,F,3,6727,0
14044,D,Ship,5,3,180,3,medium,F,1,5720,0
14045,F,Ship,7,1,234,2,medium,F,2,4098,0
14046,B,Ship,3,5,245,6,high,F,7,2106,1
14047,A,Flight,2,5,280,6,high,M,8,3499,1
14048,A,Flight,3,5,116,4,low,M,5,2172,1
14049,F,Road,4,1,163,5,medium,M,3,1351,0
14050,F,Flight,3,5,276,4,high,F,11,3319,1
14051,F,Flight,4,5,187,3,high,F,11,1850,1
14052,F,Flight,2,5,256,4,low,F,10,3378,1
14053,B,Ship,6,3,136,4,high,M,4,5672,0
14054,B,Ship,5,2,173,3,high,M,4,4087,0
14055,C,Ship,5,3,165,4,low,M,4,6134,0
14056,A,Flight,2,4,296,4,high,F,9,3791,1
14057,B,Ship,4,5,308,6,high,F,8,3879,1
14058,F,Road,7,3,125,2,low,M,9,4581,1
14059,C,Ship,6,3,206,3,medium,F,9,6862,1
14060,F,Flight,3,5,187,3,high,F,9,3256,1
14061,F,Flight,3,5,241,4,low,F,11,2728,1
14062,B,Flight,4,5,180,3,low,M,10,2749,1
14063,F,Ship,7,3,210,4,low,F,4,5396,0
14064,C,Ship,5,2,134,3,low,F,2,5593,0
14065,F,Ship,6,1,210,2,high,M,2,4025,0
14066,F,Ship,4,4,204,6,high,M,8,3699,1
14067,C,Ship,2,4,224,5,high,F,8,3393,1
14068,F,Flight,2,4,162,2,medium,F,8,1111,1
14069,F,Ship,2,3,295,6,low,F,9,6857,0
14070,F,Flight,4,5,236,5,low,F,10,3467,1
14071,A,Flight,4,4,156,5,low,M,10,2574,1
14072,C,Flight,4,5,162,4,high,M,9,1884,1
14073,D,Ship,6,3,230,4,low,F,1,5775,0
14074,A,Ship,6,3,102,4,medium,F,4,5951,0
14075,F,Ship,5,3,190,3,medium,M,2,5702,0
14076,D,Ship,3,4,268,5,high,M,6,3087,1
14077,D,Ship,3,5,287,4,high,M,8,3265,1
14078,D,Flight,7,2,300,6,high,M,7,4466,1
14079,F,Road,3,3,286,2,low,M,9,7411,0
14080,D,Flight,3,5,225,5,low,M,11,3217,1
14081,D,Flight,4,5,269,5,low,F,11,1791,1
14082,A,Flight,3,5,171,5,medium,M,10,3461,1
14083,A,Ship,6,2,220,2,low,F,3,5214,0
14084,B,Ship,6,1,176,2,low,M,4,5383,0
14085,B,Ship,6,3,219,2,medium,M,4,4857,0
14086,D,Ship,4,4,291,5,high,M,8,3570,1
14087,F,Flight,4,4,302,6,high,F,9,2656,1
14088,F,Flight,4,4,300,3,low,M,10,2605,1
14089,A,Flight,3,3,180,5,low,F,5,6784,1
14090,F,Flight,3,5,223,5,medium,M,9,1509,1
14091,D,Flight,3,4,229,4,medium,M,9,2606,1
14092,B,Flight,3,5,219,5,low,M,8,2032,1
14093,A,Ship,6,1,119,3,low,F,1,4935,0
14094,B,Ship,6,1,114,2,low,M,3,5258,0
14095,D,Ship,6,2,174,4,medium,F,1,5660,0
14096,D,Ship,2,5,296,4,high,M,8,3781,1
14097,D,Flight,3,4,215,4,high,F,7,2340,1
14098,F,Flight,6,4,169,4,low,M,1,7546,0
14099,F,Ship,4,2,200,6,low,F,2,7160,0
14100,F,Flight,3,4,173,5,medium,M,9,2721,1
14101,B,Flight,3,4,272,5,medium,F,9,2366,1
14102,A,Flight,3,5,193,5,medium,M,9,2802,1
14103,A,Ship,5,2,115,2,high,F,3,5555,0
14104,F,Ship,7,3,142,4,low,F,3,4820,0
14105,F,Ship,5,2,112,3,high,M,4,4850,0
14106,B,Flight,3,4,302,5,high,M,6,2127,1
14107,B,Ship,3,5,246,4,high,F,7,2084,1
14108,C,Ship,5,2,221,6,low,M,4,2517,1
14109,C,Ship,5,5,214,4,low,F,9,7303,1
